Year,Name,College,Position,Height (in),Weight (lbs),Wonderlic,40 Yard Dash,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle ,3Cone
1987,Mike Adams,Arizona State,CB,69.8,198,,4.42,13,32,118,4.6,9.99
1987,John Adickes,Baylor,C,74.8,266,,4.97,25,26.5,103,4.6,9.99
1987,Tommy Agee,Auburn,FB,71.8,217,,9.99,15,,,9.99,9.99
1987,David Alexander,Tulsa (OK),C,75,279,,5.13,22,27.5,105,4.33,9.99
1987,Lyneal Alston,Southern Mississippi,WR,72.1,202,,4.64,7,32,114,4.52,9.99
1987,Steve Alvord,Washington,DE,76.5,273,,4.86,18,28.5,108,4.49,9.99
1987,Anthony Anderson,Grambling State (LA),CB,73.6,208,,4.69,,31,111,4.48,9.99
1987,Joe Armentrout,Wisconsin,FB,72.3,220,,4.71,18,31,116,4.16,9.99
1987,Bruce Armstrong,Louisville,OT,76,284,,5.05,22,27,100,4.81,9.99
1987,Gene Atkins,Florida A&M,FS,71.3,191,,4.58,14,31,120,4.55,9.99
1987,Robert Awalt,San Diego State,TE,77,239,,4.86,,28,108,4.45,9.99
1987,Stephen Baker,Frenso State (CA),WR,68,157,,4.6,,31,116,4.41,9.99
1987,Jerry Ball,Southern Methodist (TX),DT,72.1,292,,5.14,23,24,96,4.77,9.99
1987,Robert Banks,Notre Dame,DT,76,250,,4.98,18,,,9.99,9.99
1987,Roy Banks,Eastern Illinois,WR,70.1,188,,4.52,4,32,114,4.26,9.99
1987,Roland Barbay,Louisiana State,DE,75.4,259,,5.18,13,21.5,91,4.59,9.99
1987,Steve Bartalo,Colorado State,RB,68.8,201,,4.83,14,28.5,114,4.05,9.99
1987,Doug Bartlett,Northern Illinois,OLB,74.3,250,,4.75,31,31,112,4.12,9.99
1987,Harris Barton,North Carolina,C,76.3,280,,5.03,24,31,106,4.46,9.99
1987,Gerald Bayless,Bowling Green (OH),TE,75.8,235,,4.82,,26,108,4.34,9.99
1987,Albert Bell,Alabama,WR,70.8,174,,4.63,4,29.5,114,4.5,9.99
